dct:title,MUSTERDATENSATZ,THEMA,BEZEICHNUNG,dct:description,dct:identifier,dcat:Distribution.dct:license,dcat:theme,updated_at,ORG,dcat:landingPage
Parkhäuser in Düsseldorf,Infrastruktur - Parkplätze,Infrastruktur,Parkplätze,"Der Datensatz enthält die Standorte der Parkhäuser in der Landeshauptstadt Düsseldorf mit den Informationen, wie sie im Stadtplan bzw. im Geoportal der Stadt Düsseldorf dargestellt sind.Autofahrerinnen und Autofahrern die Suche nach freien sowie ordnungsgemäßen Stellplätzen in Düsseldorf zu erleichtern unterstützt auch das Amt für Verkehrsmanagement.Wenn Sie als Bürgerin oder Bürger auf das Auto angewiesen sind, stellt sich oft die Frage: Wo kann ich parken und was muss ich bezahlen?Diese und weitere Fragen beantwortet eine Serviceseite der Verkehrstechnik Informationen zur aktuellen Parkhausbelegung in den ParkquartierenDie Dateien enthalten folgende Informationen:<ul><li>LATITUDE: Geographische Breite</li>	<li>LONGITUDE: Geographische Länge</li>	<li>ALTITUDE: Geographische Höhe - hier 0</li>	<li>GEOMETRY: Art der Geoinformation - hier Point</li>	<li>NAME: Name des Parkhauses</li>	<li>ADRESSE / ZUFAHRT: Strasse und Hausnummer</li>	<li>ORT:Postleitzahl Ort Stadtteil</li></ul> ",994da875-8a75-4f96-ac57-1f4ccf3d934c,Datenlizenz Deutschland Namensnennung 2.0,Verkehr,2019-10-21T08:14:45.565159,Düsseldorf,https://open.nrw/dataset/parkhaeuser-duesseldorf-d
Pendlerzahlen seit 2014,Bevölkerung - Demografie,Bevölkerung,Demografie,"Der Datensatz enthält die Anzahl der Pendlerinnen und Pendler von und nach Düsseldorf ab 2014.Müssen Arbeitnehmerinnen und Arbeitnehmer auf ihrem Weg zur Arbeitsstätte die Grenze der Wohngemeinde überschreiten, werden sie zum Personenkreis der Pendlerinnen und Pendler gezählt.Die in den Tabellen aufgeführte „Entfernung in Kilometern“ ergibt sich aus der Luftlinienentfernung zwischen den geografischen Mittelpunkten der Arbeits- und Wohnorte.Die Datei „Einpendelnde Personen“ enthält folgende  Spalteninformationen:<ul><li>Herkunftsort: Wohngemeinde, aus der Pendlerinnen und Pendler nach Düsseldorf einpendeln</li>	<li>Anzahl: Gesamtzahl pendelnde Personen</li>	<li>Anzahl %: prozentualer Anteil aller pendelnder Personen</li>	<li>Weiblich: Gesamtzahl der Pendlerinnen</li>	<li>Weiblich: prozentualer Anteil der Pendlerinnen</li>	<li>Männlich: Gesamtzahl der Pendler</li>	<li>Männlich %: prozentualer Anteil der Pendler</li>	<li>Entfernung in Kilometern: Luftlinienentfernung in Kilometern</li></ul>Die Datei „Auspendelnde Personen“ enthält folgende  Spalteninformationen<ul><li>Zielort: Ort, in den Pendlerinnen und Pendler aus Düsseldorf einpendeln</li>	<li>Anzahl:  Gesamtzahl pendelnde Personen</li>	<li>Anzahl %: prozentualer Anteil aller pendelnder Personen</li>	<li>Weiblich: Gesamtzahl der Pendlerinnen</li>	<li>Weiblich %: prozentualer Anteil der Pendlerinnen</li>	<li>Männlich: Gesamtzahl der Pendler</li>	<li>Männlich %: prozentualer Anteil der Pendler</li>	<li>Entfernung in Kilometern: Luftlinienentfernung in Kilometern</li></ul>",6f2671ab-ddd0-42db-8b0d-024e9cd1cf5a,Datenlizenz Deutschland Namensnennung 2.0,Wirtschaft und Finanzen,2019-10-21T08:16:30.940526,Düsseldorf,https://open.nrw/dataset/pendlerzahlen-seit-2014-d
Personenschäden bei Bränden der Feuerwehr Düsseldorf seit 2015,Feuerwehr - Einsätze,Feuerwehr,Einsätze,"Der Datensatz enthält die Angaben zu Personenschäden bei Bränden in Düsseldorf seit 2015.Bei Bränden kommt es nicht immer nur zu Sachschäden, sondern leider sind auch sehr oft Personen betroffen. Die meisten Menschen fallen jedoch nicht den Flammen zum Opfer und erleiden Brandverletzungen, sondern den giftigen Rauchgasen.Wichtigste Erstmaßnahmen im Brandfall:Fenster und Türen schließen!Denn geschlossene Fenster und Türen können die Ausbreitung des Brandrauches verhindern und somit Leben retten.Weitere Verhaltensmaßnahmen bei einem Brand entnehmen Sie bitte dem Hinweisblatt der Feuerwehr Düsseldorf.Die Datei „Personen bei Bränden seit 2015“ enthält folgende Spalteninformationen:<ul><li>Jahr: Jahr der Erhebung</li>	<li>bei Bränden getötet: Anzahl der bei Bränden verstorbenen Personen    </li>	<li>bei Bränden gerettete: Anzahl der bei Bränden geretteten Personen</li></ul>",444876f2-3db1-410e-af0e-a0c9231c00a4,Datenlizenz Deutschland Namensnennung 2.0,"Justiz, Rechtssystem und öffentliche Sicherheit",2019-10-21T08:13:26.530267,Düsseldorf,https://open.nrw/dataset/personenschaeden-bei-braenden-der-feuerwehr-duesseldorf-seit-2015-d
Rosenmontagszug Düsseldorf Zugverlauf,Sicherheit - Karneval,Sicherheit,Karneval,"Der Datensatz enthält den Zugweg des Rosenmontagszuges am 4. März 2019 in Düsseldorf.Der Abmarsch des Zuges erfolgt um 11 Uhr und schlägt folgenden Weg ein: Zugaufstellung linksseitig Corneliusstraße (ab Höhe Herzogstraße) - Hüttenstraße - Graf-Adolf-Straße (linksseitig) - Königsallee (Ostseite/Geschäftsseite) - Theodor-Körner-Straße - Heinrich-Heine-Allee - Grabbeplatz - Mühlenstraße - Burgplatz - Marktstraße - Marktplatz und dort um das Jan-Wellem-Denkmal herum - weiter über Marktstraße - Berger Straße - Carlsplatz - Bilker Straße - Haroldstraße - Hohe Straße - Benrather Straße - Königsallee (Westseite/Bankenseite) - Theodor-Körner-Straße - Graf-Adolf-Platz - Friedrichstraße, bis Bilker Allee.Hinweise zu Sperrungen entlang des Zugweges können der Pressemitteilung des Ordnungsamtes vom 20.02.2019 entnommen werden.",af6b4264-a833-4b95-837a-a495d553f717,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport,Justiz, Rechtssystem und öffentliche Sicherheit",2019-10-21T08:14:37.230503,Düsseldorf,https://open.nrw/dataset/rosenmontagszug-duesseldorf-zugverlauf-d
Seniorenratswahl 2014 Düsseldorf,Wahlen - Kommunalwahl,Wahlen,Kommunalwahl,"Der Datensatz enthält die Ergebnisse der Seniorenratswahl 2014 in DüsseldorfDer Seniorenrat ist das Sprachrohr der rund 145.000 Düsseldorferinnen und Düsseldorfer über 60 Jahre. Er setzt sich seit 1978 aktiv für die Interessen der steigenden Zahl älterer Menschen in Düsseldorf ein und weist politische Gremien, Verwaltung und andere Institutionen auf spezifische Probleme und Wünsche von Seniorinnen und Senioren hin.Die Wahl des Seniorenrats erfolgt auf Basis der Stadtbezirke von Düsseldorf. Aus jedem Bezirk werden zwei Vertreterinnen bzw. Vertreter in den Seniorenrat entsandt. Die klarschriftlichen Stadtteilnamen zu den Stadtbezirksnummern können im Datensatz Stadtteile Düsseldorf abgefragt werden.Im Jahr 2014 haben von den 142.238 wahlberechtigten Bürgerinnen und Bürgern 30.713 per Briefwahl abgestimmt.Die Datei enthält folgende Spalteninformationen:<ul><li>Stadtbezirk: zweistellige Nummer des Stadtbezirks</li>	<li>Wahlberechtigte: Anzahl der Wahlberechtigten Bürgerinnen und Bürger im Stadtbezirk</li>	<li>Briefwähler: Anzahl der Bürgerinnen und Bürger im Stadtbezirk, die per Briefwahl abgestimmt haben</li>	<li>ungültige Stimmen: Anzahl der für ungültig erklärten Stimmen</li>	<li>gültige Stimmen: Anzahl der gültigen Stimmen</li>	<li>Kandidatin/Kandidat 1: Name von Kandidatin/Kandidat 1</li>	<li>Stimmen Kandidatin/Kandidat 1: Anzahl der Stimmen, die auf Kandidatin/Kandidat 1 entfielen</li>	<li>Kandidatin/Kandidat 2: Name von Kandidatin/Kandidat 2</li>	<li>Stimmen Kandidatin/Kandidat 2: Anzahl der Stimmen, die auf Kandidatin/Kandidat 2 entfielen</li>	<li>Kandidatin/Kandidat 3: Name von Kandidatin/Kandidat 3</li>	<li>Stimmen Kandidatin/Kandidat 3: Anzahl der Stimmen, die auf Kandidatin/Kandidat 3 entfielen</li>	<li>Kandidatin/Kandidat 4: Name von Kandidatin/Kandidat 4</li>	<li>Stimmen Kandidatin/Kandidat 4: Anzahl der Stimmen, die auf Kandidatin/Kandidat 4 entfielen</li>	<li>Kandidatin/Kandidat 5: Name von Kandidatin/Kandidat 5</li>	<li>Stimmen Kandidatin/Kandidat 5: Anzahl der Stimmen, die auf Kandidatin/Kandidat 5 entfielen</li>	<li>Kandidatin/Kandidat 6: Name von Kandidatin/Kandidat 6</li>	<li>Stimmen Kandidatin/Kandidat 6: Anzahl der Stimmen, die auf Kandidatin/Kandidat 6 entfielen</li></ul>ANMERKUNG:Hier finden Sie Informationen über die aktuell gewählten Mitglieder der Stadtbezirke für die Wahlperiode 2014 - 2019.",ca971025-aa56-4668-9222-6353cf01ce55,Datenlizenz Deutschland Namensnennung 2.0,Regierung und öffentlicher Sektor,2019-10-21T08:14:06.978630,Düsseldorf,https://open.nrw/dataset/seniorenratswahl-2014-duesseldorf-d
Seniorenratswahl 2019 Düsseldorf,Wahlen - Kommunalwahl,Wahlen,Kommunalwahl,"Der Datensatz enthält Daten der Seniorenratswahl 2019 in Düsseldorf.Im März 2019 konnten alle Düsseldorferinnen und Düsseldorfer über 60 Jahre ihre Vertretung aus dem Stadtbezirk in den Seniorenrat wählen.Die Wahl des Seniorenrats erfolgt auf Basis der Stadtbezirke von Düsseldorf. Aus jedem Bezirk werden zwei Vertreterinnen bzw. Vertreter in den Seniorenrat entsandt. Die klarschriftlichen Stadtteilnamen zu den Stadtbezirksnummern können im Datensatz Stadtteile Düsseldorf abgefragt werden.Wahlberechtigt war, wer am 1. März 2019<ul><li>Deutsche oder Deutscher im Sinne von Artikel 116 Absatz 1 des Grundgesetzes ist oder die Staatsangehörigkeit eines Mitgliedsstaates der Europäischen Union besaß</li>	<li>das 60. Lebensjahr vollendet hatte</li>	<li>mindestens seit drei Monaten in der Stadt Düsseldorf seine Hauptwohnung hatte und</li>	<li>nicht nach § 8 Kommunalwahlgesetz vom Wahlrecht ausgeschlossen war</li></ul>Die Wahl fand ausschließlich als Briefwahl statt.Die Dateien ""Seniorenratswahl 2019 Wahlberechtigte"" enthalten folgende Spalteninformationen:<ul><li>Stadtbezirk: 2-stellige Nummer des Stadtbezirks</li>	<li>Wahlberechtigte: Anzahl der wahlberechtigten Bürgerinnen und Bürger</li></ul>Die Dateien ""Seniorenratswahl 2019 Endergebnis"" enthalten folgende Spalteninformationen:<ul><li>Stadtbezirk: Nummer des Stadtbezirks</li>	<li>Wahlberechtigte: Anzahl der Wahlberechtigten Bürgerinnen und Bürger im Stadtbezirk</li>	<li>Briefwähler: Anzahl der Bürgerinnen und Bürger im Stadtbezirk, die per Briefwahl abgestimmt haben</li>	<li>gültige: Anzahl der gültigen Stimmen</li>	<li>ungültige: Anzahl der für ungültig erklärten Stimmen</li>	<li>Kandidat 1: Name Kandidatin / Kandidat 1 im jeweiligen Stadtbezirk</li>	<li>AnzStK1: Anzahl Stimmen im jeweiligen Stadtbezirk, die auf Kandidatin / Kandidat 1 entfielen</li>	<li>Kandidat 2: Name Kandidatin / Kandidat 2 im jeweiligen Stadtbezirk</li>	<li>AnzStK2: Anzahl Stimmen im jeweiligen Stadtbezirk, die auf Kandidatin / Kandidat 2 entfielen</li>	<li>Kandidat 3: Name Kandidatin / Kandidat 3 im jeweiligen Stadtbezirk</li>	<li>AnzStK3: Anzahl Stimmen im jeweiligen Stadtbezirk, die auf Kandidatin / Kandidat 3 entfielen</li>	<li>Kandidat 4: Name Kandidatin / Kandidat 4 im jeweiligen Stadtbezirk</li>	<li>AnzStK4: Anzahl Stimmen im jeweiligen Stadtbezirk, die auf Kandidatin / Kandidat 4 entfielen</li>	<li>Kandidat 5: Name Kandidatin / Kandidat 5 im jeweiligen Stadtbezirk</li>	<li>AnzStK5: Anzahl Stimmen im jeweiligen Stadtbezirk, die auf Kandidatin / Kandidat 5 entfielen</li>	<li>Kandidat 6: Name Kandidatin / Kandidat 6 im jeweiligen Stadtbezirk</li>	<li>AnzStK6: Anzahl Stimmen im jeweiligen Stadtbezirk, die auf Kandidatin / Kandidat 6 entfielen</li>	<li>Kandidat 7: Name Kandidatin / Kandidat 7 im jeweiligen Stadtbezirk</li>	<li>AnzStK7: Anzahl Stimmen im jeweiligen Stadtbezirk, die auf Kandidatin / Kandidat 7 entfielen</li>	<li>Kandidat 8: Name Kandidatin / Kandidat 8 im jeweiligen Stadtbezirk</li>	<li>AnzStK8: Anzahl Stimmen im jeweiligen Stadtbezirk, die auf Kandidatin / Kandidat 8 entfielen</li>	<li>Kandidat 9: Name Kandidatin / Kandidat 9 im jeweiligen Stadtbezirk</li>	<li>AnzStK9: Anzahl Stimmen im jeweiligen Stadtbezirk, die auf Kandidatin / Kandidat 9 entfielen</li></ul>Anmerkung:Die Anzahl der Kandidatinnen und Kandidaten ist nicht in allen Stadtbezirken gleich. ",3746a5ad-199b-423c-acc1-24ada361ace8,Datenlizenz Deutschland Namensnennung 2.0,Regierung und öffentlicher Sektor,2019-10-21T08:14:14.520317,Düsseldorf,https://open.nrw/dataset/seniorenratswahl-2019-duesseldorf-d
Sitzungskalender der städtischen Gremien in Düsseldorf 2019,Politische Vertretung - Gremien,Politische Vertretung,Gremien,"Der Datensatz enthält die Sitzungstermine der städtischen Gremien in Düsseldorf für das Jahr 2019.Da sich die Termine im Laufe des Jahres verschieben können, wird der Datensatz nach Bedarf aktualisiert.Die Datei „Sitzungskalender 2019“ enthält folgende Spalteninformationen:<ul><li>Gremium: Bezeichnung</li>	<li>Uhrzeit: Beginn der Sitzung</li>	<li>Ort: Sitzungsort</li>	<li>Termin 1…Termin 9: Datum der Sitzung</li></ul>",e654ff1f-aaea-4b0c-9fa8-acc71bb87aab,Datenlizenz Deutschland Namensnennung 2.0,Regierung und öffentlicher Sektor,2019-10-21T08:13:04.534542,Düsseldorf,https://open.nrw/dataset/sitzungskalender-der-staedtischen-gremien-duesseldorf-seit-2019-d
Sommer-Baumfällungen im Stadtgebiet von Düsseldorf 2019,Grünflächen - Baumfällungen,Grünflächen,Baumfällungen,"Der Datensatz enthält die geplanten Baumfällungen des Garten-, Friedhofs- und Forstamtes für den Sommer 2019. Um die Verkehrssicherheit im öffentlichen Straßenraum zu gewährleisten, werden regelmäßig Baumfällungen im Stadtgebiet durchgeführt.Gründe für die Fällungen sind vielfältig. So können über Pilz- und Fäulnisbefall bis hin zu Sturm- und Stammschäden unterschiedliche Auslöser für eine Entfernung des Baumes führen. Natürlich werden die Bäume vor der Fällung auf bebrütete Nester untersucht. Sofern es möglich ist, werden die Standorte der gefällten Bäume so bald wie möglich wieder bepflanzt.Weitergehende Informationen zu den Baumfällungen finden Sie auf der Seite des Garten-, Friedhofs- und Forstamtes.An den zu fällenden Bäumen ist ein kompostierbares und wetterfestes Schild aus Pappe angebracht, auf dem ein QR-Code abgebildet ist. Dieser kann mit einem Smartphone gescannt werden und man wird auf eine Kartenanwendung umgeleitet, die mittels roter Punkte die Standorte der zu fällenden Bäume anzeigt. In der Anwendung kann unter den „Werkzeugen“ das Feld „Objektinformationen“ ausgewählt werden, um weitere Informationen über den zu fällenden Baum zu erhalten. Die Karte kann hier auch direkt aufgerufen werden.Die Datei ""Sommerfällungen 2019"" enthält folgende Spalteninformationen:<ul><li>Longitude: Geographische Länge</li>	<li>Latitude: Geographische Breite</li>	<li>Baum_ID: Nummer des Baumes im Baumkataster</li>	<li>Straße: Standort</li>	<li>Deutsch: Deutsche Bezeichnung</li>	<li>Stammumfang: Umfang des Stammes in cm</li>	<li>Grund der Fällung: Fällgrund</li>	<li>Rechtswert: Wert im Gauß-Krüger-Koordinatensystem</li>	<li>Hochwert: Wert im Gauß-Krüger-Koordinatensystem</li></ul>Sofern Bäume nicht direkt einem Standort zugeordnet werden konnten, wurde ein zentraler Standortpunkt z. B. für einen Park in der Karte gewählt. Diesem können mehrere Bäume zugeordnet sein.",52a1ae7a-79bd-4757-96f8-6aa73468c3d0,Datenlizenz Deutschland Namensnennung 2.0,Umwelt,2019-10-21T08:22:30.696450,Düsseldorf,https://open.nrw/dataset/sommer-baumfaellungen-im-stadtgebiet-von-duesseldorf-2019-d
St. Martinsumzüge in Düsseldorf,Sicherheit - Karneval,Sicherheit,Karneval,"Der Datensatz enthält die Termine der St. Martinsumzüge in Düsseldorf.1886 zog St. Martin erstmals hoch zu Ross gefolgt von einer großen Kinderschar durch die Straßen und Gassen der Düsseldorfer Altstadt. Im Jahr 1925 hat sich die Vereinigung der Freunde des Martinsfestes e. V. zusammengefunden und organisiert seither jährlich den Martinszug durch die Düsseldorfer Altstadt. Dieser findet immer am 10. November statt.Auch in den Stadtteilen ziehen die Kinder mit Ihren Laternen St. Martin hinterher und singen überlieferte und neue Lieder. In den zwei Wochen rund um den Martinstag findet in mindestens einem Stadtteil ein Martinszug statt. Diese sind oft durch Schulen, Kindergärten oder Schützenvereine organisiert.Im Jahr 2018 wurde der Martinszug in der Düsseldorfer Altstadt, in das Verzeichnis des immateriellen NRW-Kulturgutes aufgenommen worden. Dies ist ein erster Schritt in Richtung der Aufnahme ins Weltkulturerbe.Die Datei „Termine Martinsumzüge“ enthält folgende Spalteninformationen:<ul><li>Stadtteil: Name des Stadtteils</li>	<li>Veranstalter: Name des Veranstalters</li>	<li>Datum: Tag des Martinsumzuges</li>	<li>Uhrzeit: Beginn des Martinsumzuges</li>	<li>Aufstellungsort: Start des Martinszumzuges</li></ul>",b45c605f-1354-44d8-b5c7-16ba1e2dd1f0,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport",2019-11-06T05:57:56.875343,Düsseldorf,https://open.nrw/dataset/st-martinsumzuege-duesseldorf-d
Staatsangehörigkeiten der Düsseldorfer Bevölkerung nach Stadtteilen,Bevölkerung - Staatsangehörigkeit,Bevölkerung,Staatsangehörigkeit,"Der Datensatz enthält die Anzahl der Personen nach ihrer ersten Staatsangehörigkeit, die in der Landeshauptstadt Düsseldorf ihre Hauptwohnung (alleinige Wohnung) inne haben. Die Daten liegen auf Ebene der Stadtteile vor.Die Dateien enthalten folgende Spalteninformationen:<ul><li>Erste Staatsangehörigkeit: Bezeichnung des Staates in Kurzform</li>	<li>Staatenschlüssel: dreistellige Länderkennzahlen / Staatsangehörigkeitsschlüssel</li>	<li>011 Altstadt: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>012 Carlstadt: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>013 Stadtmitte: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>014 Pempelfort: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>015 Derendorf: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>016 Golzheim: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>021 Flingern Süd: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>022 Flingern Nord: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>023 Düsseltal: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>031 Friedrichstadt: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>032 Unterbilk: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>033 Hafen: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>034 Hamm: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>035 Volmerswerth: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>036 Bilk: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>037 Oberbilk: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>038 Flehe: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>041 Oberkassel: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>042 Heerdt: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>043 Lörick: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>044 Niederkassel: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>051 Stockum: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>052 Lohausen: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>053 Kaiserswerth: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>054 Wittlaer: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>055 Angermund: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>056 Kalkum: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>061 Lichtenbroich: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>062 Unterrath: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>063 Rath: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>064 Mörsenbroich: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>071 Gerresheim: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>072 Grafenberg: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>073 Ludenberg: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>074 Hubbelrath: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>075 Knittkuhl: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>081 Lierenfeld: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>082 Eller: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>083 Vennhausen: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>084 Unterbach: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>091 Wersten: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>092 Himmelgeist: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>093 Holthausen: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>094 Reisholz: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>095 Benrath: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>096 Urdenbach: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>097 Itter: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>098 Hassels: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>101 Garath: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li>	<li>102 Hellerhof: Anzahl der Bürgerinnen und Bürger mit Hauptwohnsitz in diesem Stadtteil</li></ul>Anmerkung:Bei den mit einem Punkt gefüllten Feldern kann der Zahlenwert aus Geheimhaltungsgründen nicht angegeben werden. ",a0e6a5b4-2e0f-44a5-ab4d-b1c6782e37a9,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2019-10-21T08:16:20.220707,Düsseldorf,https://open.nrw/dataset/staatsangehoerigkeiten-der-duesseldorfer-bevoelkerung-nach-stadtteilen-d
Standorte der Lichtzeichenanlagen (Ampeln) in Düsseldorf,Infrastruktur - Ampelanlagen,Infrastruktur,Ampelanlagen,"Der Datensatz enthält die Standorte und Nummern der Lichtzeichenanlagen in Düsseldorf.Ampeln dienen zur Steuerung des Straßenverkehrs. Sie werden dort eingesetzt, wo eine andere sichere Verkehrsabwicklung aufgrund der Verkehrsdichte oder der örtlichen Gegebenheiten nicht mehr möglich ist.In Düsseldorf werden bestimmte Ampelanlagen verkehrsabhängig geschaltet, um sich den veränderten Verkehrssituationen bedarfsgerecht anpassen zu können. Dies bezieht sich im Besonderen auf den ÖPNV, der bedarfsorientiert eine Freigabe im Sinne der ÖPNV-Beschleunigung erhält. Um den Verkehr zügiger fließen zu lassen, gibt es Straßenabschnitte, auf denen  die Ampelanlagen als „Grüne Welle“ geschaltet werden.Düsseldorfer Fußgängerampeln haben eine Eigenart, die es nur hier gibt. Denn nur in Düsseldorf  haben Fußgängerampeln eine „Gelbzeit"", wie es bei Auto-Ampeln der Fall ist. Das bedeutet, dass Fußgänger ohne Eile weitergehen können, wenn Sie auf dem Überweg sind. Sollten sie noch auf dem Bürgersteig stehen heißt es, stehen bleiben und den Überweg nicht mehr betreten. Bei Schäden an Ampelanlagen wenden Sie sich bitte an das Amt für Verkehrsmanagement, Telefon 0211 - 89 93 996.Die Datei „Lichtzeichenanlagen_Düsseldorf“ enthält folgende Spalteninformationen:<ul><li>LATITUDE: Geographische Breite         </li>	<li>LONGITUDE: Geographische Länge</li>	<li>LZANR: Nummer der Lichtzeichenanlage</li>	<li>NAME: Standort der Lichtzeichenanlage (Straße)</li>	<li>BAULAST: für die Unterhaltung zuständige Behörde, hier:	<ul><li>LHD: Landeshauptstadt Düsseldorf</li>		<li>Straßen.NRW: Landesbetrieb Straßenbau Nordrhein-Westfalen</li>	</ul></li></ul>",f93fc752-a90e-4ffd-b940-d36e21af75a8,Datenlizenz Deutschland Namensnennung 2.0,Verkehr,2019-10-21T08:22:35.248126,Düsseldorf,https://open.nrw/dataset/standorte-der-lichtzeichenanlagen-ampeln-duesseldorf-d
